accession	organism	host	generalization	year	miss_reason	sequencing_strat	notes		unique	count
MG571092.1	Leptonychotes weddellii papillomavirus 7	Leptonychotes weddellii	Pinniped	2018	filter_fail					
HQ293213.1	Zalophus californianus papillomavirus 1	Zalophus californianus	Pinniped	2011	zero_hits					
KY817993.1	Sus scrofa papillomavirus 2	Sus scrofa	Porcine	2017	zero_hits					
AY763115.1	Procyon lotor papillomavirus 1	Procyon lotor (raccoon)	Raccoon	2005	zero_hits					
OQ633419.1	Betta papillomavirus 1	Betta splendens	Ray-finned Fish	2023	zero_hits	MAG				
OP933686.1	Fish-associated papillomavirus 1	Fish (unspecified)	Ray-finned Fish	2022	filter_fail	MAG				
MZ570860.1	Papillomaviridae sp. Haddock_c145	Melanogrammus aeglefinus	Ray-finned Fish	2021	zero_hits					
MZ570861.1	Papillomaviridae sp. Haddock_c2655	Melanogrammus aeglefinus	Ray-finned Fish	2021	filter_fail					
MZ570862.1	Papillomaviridae sp. Haddock_c6033	Melanogrammus aeglefinus	Ray-finned Fish	2021	filter_fail					
MZ570864.1	Papillomaviridae sp. Seabass_c17043	Centropristis striata	Ray-finned Fish	2021	zero_hits					
MZ570863.1	Papillomaviridae sp. Seabass_c1851	Centropristis striata	Ray-finned Fish	2021	zero_hits					
MZ570865.1	Papillomaviridae sp. Seabass_c24797	Centropristis striata	Ray-finned Fish	2021	zero_hits					
BK066814.1	Papillomavirus sparus5907	Candidatus Ichthyocystis sparus	Ray-finned Fish	2024	zero_hits					
BK066746.1	Papillomavirus xiphophorus6144	Xiphophorus birchmanni	Ray-finned Fish	2024	filter_fail					
KX643372.1	Sparus aurata papillomavirus 1	Sparus aurata	Ray-finned Fish	2016	zero_hits					
MZ447865.1	Trematomus bernacchii papillomavirus	Trematomus bernacchii	Ray-finned Fish	2021	zero_hits					
MZ244208.1	Urolophus aurantiacus papillomavirus 1	Urolophus aurantiacus	Ray-finned Fish	2021	zero_hits					
MN515404.1	Wels catfish papillomavirus 1	Silurus glanis (Wels catfish)	Ray-finned Fish	2021	zero_hits					
MW582922.1	Archaeolacerta bedriagae papillomavirus 1	Archaeolacerta bedriagae	Reptile	2021	zero_hits					
EU493092.1	Caretta caretta papillomavirus 1	Caretta caretta	Reptile	2009	zero_hits					
EU493091.1	Chelonia mydas papillomavirus 1	Chelonia mydas	Reptile	2009	zero_hits					
HQ262535.1	Morelia spilota papillomavirus 1	Morelia spilota spilota	Reptile	2016	filter_fail					
HQ625440.1	Apodemus sylvaticus papillomavirus 1	Apodemus sylvaticus	Rodent	2012	filter_fail					
KC020689.2	Castor canadensis papillomavirus 1	Castor canadensis (North American beaver)	Rodent	2014	zero_hits					
AY684126.1	Erethizon dorsatum papillomavirus 1	North American porcupine (Erethizon dorsatum)	Rodent	2005	zero_hits					
MH376689.1	Erethizon dorsatum papillomavirus 2	Erethizon dorsatum	Rodent	2018	filter_fail					
NC_001605.1	Iotapapillomavirus 1	Mastomys natalensis	Rodent	2018	filter_fail	Sanger				
DQ664501.1	Mastomys coucha papillomavirus 2	Mastomys coucha	Rodent	2006	filter_fail					
DQ269468.1	Micromys minutus papillomavirus 1	Micromys minutus (European harvest mouse)	Rodent	2016	filter_fail					
JF755418.1	Peromyscus papillomavirus 1	Peromyscus maniculatus	Rodent	2011	zero_hits					
GQ180114.1	Rattus norvegicus papillomavirus 1	Rattus norvegicus	Rodent	2009	filter_fail					
ON932813.1	Rodent papillomavirus	Niviventer fulvescens	Rodent	2023	filter_fail	Sanger				
MF327538.1	Ailuropoda melanoleuca papillomavirus 4	Ailuropoda melanoleuca	Ursine	2017	filter_fail					
EF536349.1	Ursus maritimus papillomavirus 1	Ursus maritimus	Ursine	2008	filter_fail					
MH777346.2	Human papillomavirus isolate HPV-mSK_205	Homo sapiens	Human	2018						
MH777359.2	Human papillomavirus isolate HPV-mSK_220	Homo sapiens	Human	2018						
OQ930234.1	Human papillomavirus isolate CDCHPV_TL21	Homo sapiens	Human	2023						
