accession	organism	host	generalization	year	miss_reason	sequencing_strat	notes		unique	count
OR952839.1	Scotophilus kuhlii papillomavirus 1	Scotophilus kuhlii	Bat	2024	filter_fail	MAG				
MH230930.1	Tadarida brasiliensis papillomavirus	Tadarida brasiliensis	Bat	2019	zero_hits					
MW922428.1	Tadarida brasiliensis papillomavirus 3	Tadarida brasiliensis	Bat	2022	filter_fail					
JX174437.1	Bos grunniens papillomavirus 1	Bos grunniens (yak)	Bovine	2012	filter_fail					
MW543423.1	Bos taurus papillomavirus	Bos taurus	Bovine	2021	filter_fail					
MW543427.1	Bos taurus papillomavirus	Bos taurus	Bovine	2021	zero_hits					
AB543507.1	Bos taurus papillomavirus 11	Bos taurus	Bovine	2013	filter_fail	PCR				
JQ798171.1	Bos taurus papillomavirus 13	Bos taurus	Bovine	2013	filter_fail					
KP276343.1	Bos taurus papillomavirus 14	Felis catus	Bovine	2015	filter_fail					
KM983393.1	Bos taurus papillomavirus 15	Bos taurus breed Holstein	Bovine	2020	filter_fail					
KU519391.1	Bos taurus papillomavirus 16	Bos taurus	Bovine	2016	zero_hits					
KU519392.1	Bos taurus papillomavirus 17	Bos taurus	Bovine	2016	zero_hits					
KU519393.1	Bos taurus papillomavirus 18	Bos taurus	Bovine	2016	zero_hits					
KU519394.1	Bos taurus papillomavirus 19	Bos taurus	Bovine	2016	filter_fail					
KU519395.1	Bos taurus papillomavirus 20	Bos taurus	Bovine	2016	zero_hits					
KU519396.1	Bos taurus papillomavirus 21	Bos taurus	Bovine	2016	filter_fail					
KX098515.1	Bos taurus papillomavirus 23	Bos taurus taurus; breed: Holstein	Bovine	2017	filter_fail					
MG602223.1	Bos taurus papillomavirus 24	Bos taurus	Bovine	2018	filter_fail					
LC500686.1	Bos taurus papillomavirus 28		Bovine	2023	filter_fail					
LC514113.1	Bos taurus papillomavirus 29	Bos taurus Holstein Friesian	Bovine	2023	filter_fail					
AF486184.1	Bos taurus papillomavirus 3	Bos taurus	Bovine	2021	zero_hits					
MW390885.1	Bos taurus papillomavirus 30	Bos taurus	Bovine	2021	filter_fail					
OL672227.1	Bos taurus papillomavirus 30	Bos taurus	Bovine	2022	filter_fail	Sanger				
MW401529.1	Bos taurus papillomavirus 31	Bos taurus	Bovine	2021	filter_fail					
MW401530.1	Bos taurus papillomavirus 32	Bos taurus	Bovine	2021	zero_hits					
MW404256.1	Bos taurus papillomavirus 34	Bos taurus	Bovine	2021	filter_fail					
MW404259.1	Bos taurus papillomavirus 37	Bos taurus	Bovine	2021	filter_fail					
MW404260.1	Bos taurus papillomavirus 38	Bos taurus	Bovine	2021	filter_fail					
MW428427.1	Bos taurus papillomavirus 40	Bos taurus	Bovine	2021	filter_fail					
MW428428.1	Bos taurus papillomavirus 41	Bos taurus	Bovine	2021	filter_fail					
MW428430.1	Bos taurus papillomavirus 43	Bos taurus	Bovine	2021	filter_fail					
AF457465.1	Bos taurus papillomavirus 5	Bos taurus	Bovine	2021	filter_fail					
MH729203.1	Bovine papillomavirus	Bos taurus	Bovine	2020	filter_fail					
