logmb,logpvs
10.68948402,3.159266331
9.805859081,2.212187604
8.76751851,2.378397901
8.680441269,0.903089987
8.645541454,1.113943352
8.576723702,0.477121255
8.437887271,0.301029996
8.211111113,0.698970004
8.179047959,2.46834733
7.991849045,1.113943352
7.835784489,1.431363764
7.665770585,0.301029996
7.589814927,0.477121255
7.481327475,0.903089987
7.315869775,0.477121255
7.296988005,0.602059991
7.254851011,1.301029996
7.246929707,0.698970004
7.17754305,1.301029996
7.164800187,2.974050903
7.133069073,2.149219113
6.901659728,0.477121255
6.896769916,0.77815125
6.885325536,1.113943352
6.872460114,0.477121255
6.816562625,0.301029996
6.746532852,1.041392685
6.73635052,1.431363764
6.671877421,2.357934847
6.665283074,0.301029996
6.636274408,0.477121255
6.512620501,0.698970004
6.43539838,0.477121255
6.424376353,0.301029996
6.416437456,0.477121255
6.313163135,0.301029996
6.311525638,1.716003344
6.285354066,0.602059991
6.182257114,0.301029996
6.154148762,0.602059991
6.15211704,0.301029996
6.149278863,1.913813852
6.141382351,0.602059991
6.107914787,0.477121255
6.024639573,0.301029996
5.940059538,0.301029996
5.78778625,1.146128036
5.685604713,0.77815125
5.676290214,0.301029996
5.553182496,1.462397998
5.402046332,0.301029996
5.37640357,0.602059991
5.372877037,0.301029996
5.265534761,0.477121255
5.059881355,0.301029996
4.729213402,0.84509804
