Accession,Species,Genus
NC_040548.1,Serinus canaria papillomavirus 1,Etapapillomavirus
NC_040550.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040569.1,Macaca mulatta papillomavirus 4,
NC_040578.1,Canine papillomavirus 21,Taupapillomavirus
NC_040579.1,Canine papillomavirus 22,Taupapillomavirus
NC_040580.1,Erethizon dorsatum papillomavirus 2,
NC_040583.1,Boa constrictor papillomavirus 1,Dyomupapillomavirus
NC_040604.1,Rodent papillomavirus,
NC_040619.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040620.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040640.1,Human papillomavirus type 203,
NC_040655.1,Macaca mulatta papillomavirus 5,Gammapapillomavirus
NC_040688.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040691.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040709.1,Macaca mulatta papillomavirus 2,
NC_040727.1,Macaca mulatta papillomavirus 6,Alphapapillomavirus
NC_040728.1,Macaca mulatta papillomavirus 7,Gammapapillomavirus
NC_040785.1,Rusa timorensis papillomavirus type 2,
NC_040787.1,Molossus molossus papillomavirus 1,
NC_040803.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040804.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040805.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040806.1,Gammapapillomavirus sp.,Gammapapillomavirus
NC_040818.1,Leptonychotes weddellii papillomavirus 6,
NC_040827.1,Macaca mulatta papillomavirus 3,
NC_038516.1,Dyokappapapillomavirus 1,Dyokappapapillomavirus
NC_038517.1,Dyoomegapapillomavirus 1,Dyoomegapapillomavirus
NC_038518.1,Dyopsipapillomavirus 1,Dyopsipapillomavirus
NC_038519.1,Dyotaupapillomavirus 1,Dyotaupapillomavirus
NC_038520.1,Dyothetapapillomavirus 1,Dyothetapapillomavirus
NC_038521.1,Dyoupsilonpapillomavirus 1,Dyoupsilonpapillomavirus
NC_038522.1,Gammapapillomavirus 19,Gammapapillomavirus
NC_038523.1,Gammapapillomavirus 22,Gammapapillomavirus
NC_038524.1,Gammapapillomavirus 23,Gammapapillomavirus
NC_038525.1,Mupapillomavirus 3,Mupapillomavirus
NC_038526.1,Rhopapillomavirus 2,Rhopapillomavirus
NC_038527.1,Treisdeltapapillomavirus 1,Treisdeltapapillomavirus
NC_038531.1,Treisetapapillomavirus 1,Treisetapapillomavirus
NC_038889.1,Alphapapillomavirus 6,Alphapapillomavirus
NC_038914.1,Gammapapillomavirus 25,Gammapapillomavirus
NC_039036.1,Deltapapillomavirus 7,Deltapapillomavirus
NC_039037.1,Dyokappapapillomavirus 5,Dyokappapapillomavirus
NC_039038.1,Dyophipapillomavirus 1,Dyophipapillomavirus
NC_039039.1,Iotapapillomavirus 2,Iotapapillomavirus
NC_039040.1,Treisiotapapillomavirus 1,Treisiotapapillomavirus
NC_039041.1,Treisthetapapillomavirus 1,Treisthetapapillomavirus
NC_039042.1,Xipapillomavirus 5,Xipapillomavirus
NC_039086.1,Gammapapillomavirus 26,Gammapapillomavirus
NC_039089.1,Alphapapillomavirus 14,Alphapapillomavirus
NC_037059.1,Leptonychotes weddellii papillomavirus 5,
NC_037061.1,Leptonychotes weddellii papillomavirus 1,
NC_037064.1,Leptonychotes weddellii papillomavirus 4,
NC_037067.1,Leptonychotes weddellii papillomavirus 2,
NC_037069.1,Leptonychotes weddellii papillomavirus 3,
NC_035478.1,Sus scrofa papillomavirus 2,
NC_035479.1,Felis catus papillomavirus type 5,
NC_035193.1,Dyonupapillomavirus 1,Dyonupapillomavirus
NC_035199.1,Omegapapillomavirus 1,Omegapapillomavirus
NC_035201.1,Omegapapillomavirus 1,Omegapapillomavirus
NC_035208.1,Bovine papillomavirus,
NC_034616.1,Human papillomavirus type 85,
NC_033781.1,Gammapapillomavirus 18,Gammapapillomavirus
NC_033740.1,Psipapillomavirus 2,Psipapillomavirus
NC_033745.1,Psipapillomavirus 3,Psipapillomavirus
NC_031756.1,Treiskappapapillomavirus 1,Treiskappapapillomavirus
NC_030839.1,Alefpapillomavirus 1,Alefpapillomavirus
NC_030795.1,Deltapapillomavirus 4,Deltapapillomavirus
NC_030796.1,Dyokappapapillomavirus 3,Dyokappapapillomavirus
NC_030797.1,Xipapillomavirus 4,Xipapillomavirus
NC_030798.1,Dyokappapapillomavirus 4,Dyokappapapillomavirus
NC_030799.1,Dyoxipapillomavirus 2,Dyoxipapillomavirus
NC_030800.1,Bos taurus papillomavirus 20,
NC_030801.1,Dyoxipapillomavirus 2,Dyoxipapillomavirus
NC_030151.1,Epsilonpapillomavirus 2,Epsilonpapillomavirus
NC_028492.1,Iotapapillomavirus 1,Iotapapillomavirus
NC_028267.1,Rhopapillomavirus 2,Rhopapillomavirus
NC_028125.1,Gammapapillomavirus 20,Gammapapillomavirus
NC_028126.1,Xipapillomavirus 2,Xipapillomavirus
NC_027779.1,Human papillomavirus,
NC_027528.1,Gammapapillomavirus 27,Gammapapillomavirus
NC_026946.1,Human papillomavirus KC5,Gammapapillomavirus
NC_026640.1,Chipapillomavirus 2,Chipapillomavirus
NC_024893.1,Pipapillomavirus 2,Pipapillomavirus
NC_024300.1,Treiszetapapillomavirus 1,Treiszetapapillomavirus
NC_023891.1,Gammapapillomavirus 24,Gammapapillomavirus
NC_023894.1,Treisepsilonpapillomavirus 1,Treisepsilonpapillomavirus
NC_023895.1,Dyokappapapillomavirus 2,Dyokappapapillomavirus
NC_023873.1,Lambdapapillomavirus 4,Lambdapapillomavirus
NC_023882.1,Dyochipapillomavirus 1,Dyochipapillomavirus
NC_023852.1,Taupapillomavirus 2,Taupapillomavirus
NC_023496.1,Dyoomikronpapillomavirus 1,Dyoomikronpapillomavirus
NC_023178.1,Dyosigmapapillomavirus 1,Dyosigmapapillomavirus
NC_022892.1,Gammapapillomavirus 21,Gammapapillomavirus
NC_022647.1,Pipapillomavirus 1,Pipapillomavirus
NC_022373.1,Taupapillomavirus 3,Taupapillomavirus
NC_022253.1,Taupapillomavirus 4,Taupapillomavirus
NC_022095.1,Gammapapillomavirus 15,Gammapapillomavirus
NC_021930.1,Xipapillomavirus 3,Xipapillomavirus
NC_021483.1,Gammapapillomavirus 11,Gammapapillomavirus
NC_021472.1,Taupapillomavirus 3,Taupapillomavirus
NC_020500.1,Dyorhopapillomavirus 1,Dyorhopapillomavirus
NC_020501.1,Dyorhopapillomavirus 1,Dyorhopapillomavirus
NC_020084.1,Dyoiotapapillomavirus 2,Dyoiotapapillomavirus
NC_020085.1,Dyoiotapapillomavirus 2,Dyoiotapapillomavirus
NC_019852.1,Chipapillomavirus 3,Chipapillomavirus
NC_019023.1,Gammapapillomavirus 19,Gammapapillomavirus
NC_018575.1,Lambdapapillomavirus 5,Lambdapapillomavirus
NC_018074.1,Omikronpapillomavirus 1,Omikronpapillomavirus
NC_018075.1,Upsilonpapillomavirus 3,Upsilonpapillomavirus
NC_018076.1,Dyopipapillomavirus 1,Dyopipapillomavirus
NC_017993.1,Gammapapillomavirus 15,Gammapapillomavirus
NC_017994.1,Gammapapillomavirus 11,Gammapapillomavirus
NC_017995.1,Gammapapillomavirus 16,Gammapapillomavirus
NC_017996.1,Gammapapillomavirus 11,Gammapapillomavirus
NC_017997.1,Gammapapillomavirus 17,Gammapapillomavirus
NC_017862.1,Dyoiotapapillomavirus 1,Dyoiotapapillomavirus
NC_017716.1,Alphapapillomavirus 12,Alphapapillomavirus
NC_016898.1,Rhopapillomavirus 1,Rhopapillomavirus
NC_016074.1,Chipapillomavirus 1,Chipapillomavirus
NC_016075.1,Chipapillomavirus 3,Chipapillomavirus
NC_016157.1,Gammapapillomavirus 11,Gammapapillomavirus
NC_016013.1,Dyomupapillomavirus 1,Dyomupapillomavirus
NC_016014.1,Chipapillomavirus 3,Chipapillomavirus
NC_015691.1,Betapapillomavirus 6,Betapapillomavirus
NC_015692.1,Betapapillomavirus 1,Betapapillomavirus
NC_015325.1,Dyonupapillomavirus 1,Dyonupapillomavirus
NC_015267.1,Deltapapillomavirus 6,Deltapapillomavirus
NC_015268.1,Deltapapillomavirus 6,Deltapapillomavirus
NC_014952.1,Gammapapillomavirus 13,Gammapapillomavirus
NC_014953.1,Gammapapillomavirus 9,Gammapapillomavirus
NC_014954.1,Gammapapillomavirus 14,Gammapapillomavirus
NC_014955.1,Gammapapillomavirus 12,Gammapapillomavirus
NC_014956.1,Gammapapillomavirus 7,Gammapapillomavirus
NC_014469.1,Gammapapillomavirus 12,Gammapapillomavirus
NC_014326.1,Pipapillomavirus 2,Pipapillomavirus
NC_014185.1,Gammapapillomavirus 10,Gammapapillomavirus
NC_014143.1,Dyolambdapapillomavirus 1,Dyolambdapapillomavirus
NC_013237.1,Lambdapapillomavirus 3,Lambdapapillomavirus
NC_013117.1,Dyoepsilonpapillomavirus 1,Dyoepsilonpapillomavirus
NC_013035.1,Gammapapillomavirus 9,Gammapapillomavirus
NC_012485.1,Gammapapillomavirus 7,Gammapapillomavirus
NC_012486.1,Gammapapillomavirus 8,Gammapapillomavirus
NC_012213.1,Gammapapillomavirus 6,Gammapapillomavirus
NC_012123.1,Dyoiotapapillomavirus 1,Dyoiotapapillomavirus
NC_011765.1,Dyoetapapillomavirus 1,Dyoetapapillomavirus
NC_011530.1,Dyozetapapillomavirus 1,Dyozetapapillomavirus
NC_011280.1,Dyodeltapapillomavirus 1,Dyodeltapapillomavirus
NC_011109.1,Upsilonpapillomavirus 1,Upsilonpapillomavirus
NC_011051.1,Deltapapillomavirus 5,Deltapapillomavirus
NC_010817.1,Bandicoot papillomatosis carcinomatosis virus type 2,
NC_010739.1,Omegapapillomavirus 1,Omegapapillomavirus
NC_010329.1,Gammapapillomavirus 5,Gammapapillomavirus
NC_010226.1,Chipapillomavirus 2,Chipapillomavirus
NC_010107.1,Bandicoot papillomatosis carcinomatosis virus type 1,
NC_008582.1,Pipapillomavirus 2,Pipapillomavirus
NC_008519.1,Pipapillomavirus 2,Pipapillomavirus
NC_008297.1,Chipapillomavirus 1,Chipapillomavirus
NC_008298.1,Psipapillomavirus 1,Psipapillomavirus
NC_008184.1,Upsilonpapillomavirus 2,Upsilonpapillomavirus
NC_008188.1,Gammapapillomavirus 6,Gammapapillomavirus
NC_008189.1,Gammapapillomavirus 6,Gammapapillomavirus
NC_008032.1,Phipapillomavirus 1,Phipapillomavirus
NC_007612.1,Dyoxipapillomavirus 1,Dyoxipapillomavirus
NC_007150.1,Lambdapapillomavirus 4,Lambdapapillomavirus
NC_006951.1,Sigmapapillomavirus 1,Sigmapapillomavirus
NC_006563.1,Rhopapillomavirus 1,Rhopapillomavirus
NC_006564.1,Taupapillomavirus 1,Taupapillomavirus
NC_005134.2,Betapapillomavirus 5,Betapapillomavirus
NC_004765.1,Lambdapapillomavirus 1,Lambdapapillomavirus
NC_004500.1,Betapapillomavirus 4,Betapapillomavirus
NC_004195.1,Epsilonpapillomavirus 1,Epsilonpapillomavirus
NC_004197.1,Xipapillomavirus 1,Xipapillomavirus
NC_004104.1,Alphapapillomavirus 14,Alphapapillomavirus
NC_004068.1,Etapapillomavirus 1,Etapapillomavirus
NC_003973.1,Thetapapillomavirus 1,Thetapapillomavirus
NC_003748.1,Zetapapillomavirus 1,Zetapapillomavirus
NC_003348.1,Omikronpapillomavirus 1,Omikronpapillomavirus
NC_002232.1,Kappapapillomavirus 1,Kappapapillomavirus
NC_001789.1,Deltapapillomavirus 3,Deltapapillomavirus
NC_001693.1,Gammapapillomavirus 4,Gammapapillomavirus
NC_001694.1,Alphapapillomavirus 3,Alphapapillomavirus
NC_001690.1,Gammapapillomavirus 2,Gammapapillomavirus
NC_001691.1,Gammapapillomavirus 3,Gammapapillomavirus
NC_001676.1,Alphapapillomavirus 13,Alphapapillomavirus
NC_001619.1,Lambdapapillomavirus 2,Lambdapapillomavirus
NC_001605.1,Iotapapillomavirus 1,Iotapapillomavirus
NC_001576.1,Alphapapillomavirus 2,Alphapapillomavirus
NC_001583.1,Alphapapillomavirus 5,Alphapapillomavirus
NC_001586.1,Alphapapillomavirus 1,Alphapapillomavirus
NC_001587.1,Alphapapillomavirus 11,Alphapapillomavirus
NC_001591.1,Betapapillomavirus 3,Betapapillomavirus
NC_001593.1,Alphapapillomavirus 6,Alphapapillomavirus
NC_001595.1,Alphapapillomavirus 8,Alphapapillomavirus
NC_001596.1,Betapapillomavirus 2,Betapapillomavirus
NC_001541.1,Kappapapillomavirus 2,Kappapapillomavirus
NC_001678.1,Alphapapillomavirus 12,Alphapapillomavirus
NC_001523.1,Deltapapillomavirus 2,Deltapapillomavirus
NC_001524.1,Deltapapillomavirus 1,Deltapapillomavirus
NC_001526.4,Alphapapillomavirus 9,Alphapapillomavirus
NC_001531.1,Betapapillomavirus 1,Betapapillomavirus
NC_001457.1,Gammapapillomavirus 1,Gammapapillomavirus
NC_001458.1,Mupapillomavirus 2,Mupapillomavirus
NC_001354.1,Nupapillomavirus 1,Nupapillomavirus
NC_001352.1,Alphapapillomavirus 4,Alphapapillomavirus
NC_001357.1,Alphapapillomavirus 7,Alphapapillomavirus
NC_001522.1,Deltapapillomavirus 4,Deltapapillomavirus
NC_001355.1,Alphapapillomavirus 10,Alphapapillomavirus
NC_001356.1,Mupapillomavirus 1,Mupapillomavirus
PP577025.1,Human papillomavirus,
PP555272.1,Deltapapillomavirus 4,Deltapapillomavirus
PP555273.1,Deltapapillomavirus 4,Deltapapillomavirus
BK066313.1,Papillomavirus rana6035,
BK066321.1,Papillomavirus gadus5887,
BK066335.1,Papillomavirus panthera8334,
BK066346.1,Papillomavirus homo7570,
BK066347.1,Papillomavirus gulo8025,
BK066349.1,Papillomavirus rhincodon873,
BK066355.1,Papillomavirus rhinolophus4626,
BK066363.1,Papillomavirus homo7334,
BK066366.1,Papillomavirus canis8371,
BK066374.1,Papillomavirus felis7983,
BK066382.1,Papillomavirus carassius5978,
BK066384.1,Papillomavirus mus7523,
BK066390.1,Papillomavirus canis8381,
BK066393.1,Papillomavirus apodemus7726,
BK066395.1,Papillomavirus homo8923,
BK066408.1,Papillomavirus coryphaenoides5875,
BK066415.1,Papillomavirus homo7269,
BK066421.1,Papillomavirus sorex7377,
BK066436.1,Papillomavirus cynoglossus6077,
BK066449.1,Papillomavirus meriones7946,
BK066462.1,Papillomavirus panthera7600,
BK066472.1,Papillomavirus panthera7693,
BK066482.1,Papillomavirus rhinolophus7615,
BK066485.1,Papillomavirus homo7372,
BK066488.1,Papillomavirus canis7747,
BK066513.1,Papillomavirus felis8233a,
BK066522.1,Papillomavirus felis8233,
BK066545.1,Papillomavirus numida8051,
BK066562.1,Papillomavirus manis7551,
BK066583.1,Papillomavirus astyanax5827,
BK066588.1,Papillomavirus canis8150,
BK066590.1,Papillomavirus rhinolophus8112,
BK066597.1,Papillomavirus molossus7687,
BK066635.1,Papillomavirus rhincodon2122,
BK066644.1,Papillomavirus canis7716,
BK066647.1,Papillomavirus homo7424,
BK066654.1,Papillomavirus canis7703,
BK066659.1,Papillomavirus homo7350,
BK066681.1,Papillomavirus gadus6361,
BK066692.1,Papillomavirus molossus8005,
BK066697.1,Papillomavirus homo7221,
BK066718.1,Papillomavirus podarcis8670,
BK066727.1,Papillomavirus luscinia7441,
BK066742.1,Papillomavirus canis7831,
BK066744.1,Papillomavirus myodes7812,
BK066746.1,Papillomavirus xiphophorus6144,
BK066751.1,Papillomavirus sorex7569,
BK066757.1,Papillomavirus rodent7683,
BK066762.1,Papillomavirus leptobrachium5415,
BK066769.1,Papillomavirus canis8363,
BK066775.1,Papillomavirus mus7585,
BK066786.1,Papillomavirus barbastella7824,
BK066787.1,Papillomavirus bat7808,
BK066790.1,Papillomavirus canis7118,
BK066791.1,Papillomavirus canis7640,
BK066795.1,Papillomavirus leptobrachium5502,
BK066797.1,Papillomavirus sousa8206,
BK066814.1,Papillomavirus sparus5907,
BK066831.1,Papillomavirus molossus8160,
BK066839.1,Papillomavirus canis8363a,
BK066841.1,Papillomavirus rana5986,
BK066846.1,Papillomavirus sorex8217,
BK066851.1,Papillomavirus gadus6207,
BK066866.1,Papillomavirus rodent7632,
BK066876.1,Papillomavirus sousa2507,
BK066884.1,Papillomavirus ambystoma6078,
BK066885.1,Papillomavirus sparus5623,
BK066893.1,Papillomavirus panthera8343,
BK066894.1,Papillomavirus rana5702,
BK066896.1,Papillomavirus homo7299,
OR952772.1,Bat papillomavirus,
OR952773.1,Bat papillomavirus,
OR952774.1,Rhinolophus bat papillomavirus 3,
OR952775.1,Scotophilus kuhlii papillomavirus 1,
OR952776.1,Bat papillomavirus,
OR952777.1,Bat papillomavirus,
OR952778.1,Bat papillomavirus,
OR952779.1,Bat papillomavirus,
OR952780.1,Bat papillomavirus,
OR952781.1,Bat papillomavirus,
OR952782.1,Bat papillomavirus,
OR952783.1,Bat papillomavirus,
OR952784.1,Bat papillomavirus,
OR952785.1,Bat papillomavirus,
OR952786.1,Bat papillomavirus,
OR952787.1,Bat papillomavirus,
OR952788.1,Bat papillomavirus,
OR952789.1,Bat papillomavirus,
OR952790.1,Rhinolophus bat papillomavirus 1,
OR952791.1,Bat papillomavirus,
OR952792.1,Bat papillomavirus,
OR952793.1,Bat papillomavirus,
OR952794.1,Rhinolophus bat papillomavirus 1,
OR952795.1,Bat papillomavirus,
OR952796.1,Bat papillomavirus,
OR952797.1,Rhinolophus bat papillomavirus 2,
OR952798.1,Bat papillomavirus,
OR952799.1,Bat papillomavirus,
OR952800.1,Rhinolophus bat papillomavirus 2,
OR952801.1,Bat papillomavirus,
OR952802.1,Rhinolophus bat papillomavirus 1,
OR952803.1,Bat papillomavirus,
OR952804.1,Bat papillomavirus,
OR952805.1,Rhinolophus bat papillomavirus 1,
OR952806.1,Bat papillomavirus,
OR952807.1,Rhinolophus bat papillomavirus 1,
OR952808.1,Bat papillomavirus,
OR952809.1,Bat papillomavirus,
OR952810.1,Bat papillomavirus,
OR952811.1,Bat papillomavirus,
OR952812.1,Bat papillomavirus,
OR952813.1,Bat papillomavirus,
OR952814.1,Bat papillomavirus,
OR952815.1,Bat papillomavirus,
OR952816.1,Bat papillomavirus,
OR952817.1,Bat papillomavirus,
OR952818.1,Bat papillomavirus,
OR952819.1,Bat papillomavirus,
OR952820.1,Bat papillomavirus,
OR952821.1,Bat papillomavirus,
OR952822.1,Bat papillomavirus,
OR952823.1,Bat papillomavirus,
OR952824.1,Bat papillomavirus,
OR952825.1,Bat papillomavirus,
OR952826.1,Bat papillomavirus,
OR952827.1,Bat papillomavirus,
OR952828.1,Bat papillomavirus,
OR952829.1,Bat papillomavirus,
OR952830.1,Bat papillomavirus,
OR952831.1,Scotophilus kuhlii papillomavirus 1,
OR952832.1,Scotophilus kuhlii papillomavirus 1,
OR952833.1,Bat papillomavirus,
OR952834.1,Bat papillomavirus,
OR952835.1,Bat papillomavirus,
OR952836.1,Scotophilus kuhlii papillomavirus 1,
OR952837.1,Bat papillomavirus,
OR952838.1,Bat papillomavirus,
OR952839.1,Scotophilus kuhlii papillomavirus 1,
OR952840.1,Bat papillomavirus,
OR952841.1,Scotophilus kuhlii papillomavirus 1,
OR952842.1,Bat papillomavirus,
OR952843.1,Bat papillomavirus,
OR952844.1,Scotophilus kuhlii papillomavirus 1,
OR952845.1,Bat papillomavirus,
OR952846.1,Bat papillomavirus,
OR952847.1,Bat papillomavirus,
OR952848.1,Bat papillomavirus,
OR952849.1,Bat papillomavirus,
OR952850.1,Bat papillomavirus,
OR952851.1,Bat papillomavirus,
OR952852.1,Bat papillomavirus,
OR952853.1,Bat papillomavirus,
OR952854.1,Bat papillomavirus,
OR952855.1,Bat papillomavirus,
OR952856.1,Bat papillomavirus,
OR952857.1,Bat papillomavirus,
OR952858.1,Bat papillomavirus,
OR952859.1,Bat papillomavirus,
OR952860.1,Bat papillomavirus,
OR952861.1,Myotis ricketti associated fish papillomavirus,
OR952862.1,Myotis ricketti associated fish papillomavirus,
OR952863.1,Bat papillomavirus,
OR952864.1,Bat papillomavirus,
OR952865.1,Bat papillomavirus,
OR952866.1,Bat papillomavirus,
OR952867.1,Bat papillomavirus,
OR952868.1,Bat papillomavirus,
OR952869.1,Bat papillomavirus,
OR952870.1,Bat papillomavirus,
OR952871.1,Bat papillomavirus,
OR952872.1,Bat papillomavirus,
OR952873.1,Bat papillomavirus,
OR952874.1,Bat papillomavirus,
OR952875.1,Bat papillomavirus,
OR952876.1,Bat papillomavirus,
OR952877.1,Bat papillomavirus,
OR952878.1,Bat papillomavirus,
OR952879.1,Bat papillomavirus,
OR952880.1,Bat papillomavirus,
OR952881.1,Taphozous bat papillomavirus 1,
OR952882.1,Taphozous bat papillomavirus 1,
OR952883.1,Taphozous bat papillomavirus 1,
OR952884.1,Taphozous bat papillomavirus 1,
OR952885.1,Bat papillomavirus,
OR952886.1,Bat papillomavirus,
OR952887.1,Bat papillomavirus,
OR952888.1,Bat papillomavirus,
OR952889.1,Bat papillomavirus,
OR952890.1,Bat papillomavirus,
OR952891.1,Bat papillomavirus,
OR952892.1,Bat papillomavirus,
OR952893.1,Bat papillomavirus,
OR952894.1,Bat papillomavirus,
OR952895.1,Bat papillomavirus,
OR952896.1,Bat papillomavirus,
OR952897.1,Bat papillomavirus,
OR952898.1,Bat papillomavirus,
OR952899.1,Bat papillomavirus,
OR952900.1,Rhinolophus bat papillomavirus 1,
OR952901.1,Rhinolophus bat papillomavirus 1,
OR952902.1,Bat papillomavirus,
OR952903.1,Rhinolophus bat papillomavirus 3,
OR952904.1,Rhinolophus bat papillomavirus 1,
OR952905.1,Rhinolophus bat papillomavirus 1,
OR952906.1,Rhinolophus bat papillomavirus 1,
OR952907.1,Rhinolophus bat papillomavirus 1,
OR952908.1,Rhinolophus bat papillomavirus 1,
OR952909.1,Bat papillomavirus,
OR952910.1,Rhinolophus bat papillomavirus 1,
OR952911.1,Rhinolophus bat papillomavirus 2,
OR952912.1,Rhinolophus bat papillomavirus 3,
OR952913.1,Rhinolophus bat papillomavirus 1,
OR952914.1,Rhinolophus bat papillomavirus 1,
OR952915.1,Rhinolophus bat papillomavirus 1,
OR952916.1,Rhinolophus bat papillomavirus 1,
OR952917.1,Rhinolophus bat papillomavirus 2,
OR952918.1,Rhinolophus bat papillomavirus 1,
OR952919.1,Rhinolophus bat papillomavirus 1,
OR952920.1,Rhinolophus bat papillomavirus 1,
OR952921.1,Bat papillomavirus,
OR952922.1,Bat papillomavirus,
OR952923.1,Bat papillomavirus,
OR952924.1,Bat papillomavirus,
OR952925.1,Bat papillomavirus,
OR952926.1,Rhinolophus bat papillomavirus 1,
OR952927.1,Rhinolophus bat papillomavirus 3,
OR952928.1,Bat papillomavirus,
OR952929.1,Rhinolophus bat papillomavirus 3,
OR952930.1,Rhinolophus bat papillomavirus 1,
OR952931.1,Bat papillomavirus,
PP327891.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327892.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327893.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327894.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327895.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327896.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327897.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327898.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327899.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327900.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327901.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327902.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327903.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327904.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327905.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327906.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327907.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327908.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327909.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327910.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327911.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327912.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327913.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327914.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327915.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327916.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327917.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327918.1,Alphapapillomavirus 7,Alphapapillomavirus
PP327919.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408305.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408306.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408307.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408308.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408309.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408310.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408311.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408312.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408313.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408314.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408315.1,Alphapapillomavirus 7,Alphapapillomavirus
PP408316.1,Alphapapillomavirus 7,Alphapapillomavirus
OR951005.1,Taphozous bat papillomavirus 1,
PP408177.1,Deltapapillomavirus 4,Deltapapillomavirus
PP349808.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349809.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349810.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349811.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349812.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349813.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349814.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349815.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349816.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349817.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349818.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349819.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349820.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349821.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349822.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349823.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349824.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349825.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349826.1,Alphapapillomavirus 10,Alphapapillomavirus
PP349827.1,Alphapapillomavirus 10,Alphapapillomavirus
PP266440.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266441.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266442.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266443.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266444.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266445.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266446.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266447.1,Alphapapillomavirus 7,Alphapapillomavirus
PP266448.1,Alphapapillomavirus 7,Alphapapillomavirus
PP296644.1,Human papillomavirus,
PP296645.1,Human papillomavirus,
PP296646.1,Human papillomavirus,
PP296647.1,Human papillomavirus,
PP296648.1,Human papillomavirus,
PP296649.1,Human papillomavirus,
PP296650.1,Human papillomavirus,
PP296651.1,Human papillomavirus,
PP296652.1,Human papillomavirus,
PP296653.1,Human papillomavirus,
PP296654.1,Human papillomavirus,
PP296655.1,Human papillomavirus,
PP296656.1,Human papillomavirus,
PP296657.1,Human papillomavirus,
PP296658.1,Human papillomavirus,
PP296659.1,Human papillomavirus,
