id,label,xref
DOID:4515,thyroid sarcoma,NCI:C6041
DOID:4515,thyroid sarcoma,UMLS_CUI:C1336756
DOID:4517,skin angiosarcoma,NCI:C4489
DOID:4517,skin angiosarcoma,SNOMEDCT_US_2023_03_01:254794007
DOID:4517,skin angiosarcoma,UMLS_CUI:C0346081
DOID:452,pleomorphic adenoma,ICDO:8940/0
DOID:452,pleomorphic adenoma,MESH:D008949
DOID:452,pleomorphic adenoma,MIM:181030
DOID:452,pleomorphic adenoma,NCI:C35691
DOID:452,pleomorphic adenoma,SNOMEDCT_US_2023_03_01:8360001
DOID:452,pleomorphic adenoma,UMLS_CUI:C0026277
DOID:4520,cervical endometrial stromal sarcoma,NCI:C40220
DOID:4520,cervical endometrial stromal sarcoma,UMLS_CUI:C3642326
DOID:4521,cervix endometrial stromal tumor,NCI:C40218
DOID:4521,cervix endometrial stromal tumor,UMLS_CUI:C4289586
DOID:4522,superior vena cava angiosarcoma,NCI:C5378
DOID:4522,superior vena cava angiosarcoma,UMLS_CUI:C1336530
DOID:4524,prostate angiosarcoma,NCI:C5528
DOID:4524,prostate angiosarcoma,UMLS_CUI:C1335504
DOID:4525,mediastinum angiosarcoma,NCI:C6613
DOID:4525,mediastinum angiosarcoma,UMLS_CUI:C1334649
DOID:4527,ovarian angiosarcoma,NCI:C5232
DOID:4527,ovarian angiosarcoma,UMLS_CUI:C1335152
DOID:4531,mucoepidermoid carcinoma,GARD:10671
DOID:4531,mucoepidermoid carcinoma,ICDO:8430/3
DOID:4531,mucoepidermoid carcinoma,MESH:D018277
DOID:4531,mucoepidermoid carcinoma,NCI:C3772
DOID:4531,mucoepidermoid carcinoma,SNOMEDCT_US_2023_03_01:4079000
DOID:4531,mucoepidermoid carcinoma,UMLS_CUI:C0206694
DOID:4542,basophil adenoma,ICDO:8300/0
DOID:4542,basophil adenoma,MESH:D000237
DOID:4542,basophil adenoma,NCI:C2856
DOID:4542,basophil adenoma,SNOMEDCT_US_2023_03_01:9436005
DOID:4542,basophil adenoma,UMLS_CUI:C0001431
DOID:4545,mesenchymal chondrosarcoma,ICDO:9240/3
DOID:4545,mesenchymal chondrosarcoma,MESH:D018211
DOID:4545,mesenchymal chondrosarcoma,NCI:C3737
DOID:4545,mesenchymal chondrosarcoma,SNOMEDCT_US_2023_03_01:56565002
DOID:4545,mesenchymal chondrosarcoma,UMLS_CUI:C0206637
