id,label,xref
DOID:4839,sebaceous adenocarcinoma,UMLS_CUI:C0206684
DOID:4840,sebaceous carcinoma,ICD10CM:C44
DOID:4840,sebaceous carcinoma,SNOMEDCT_US_2023_03_01:188083002
DOID:4840,sebaceous carcinoma,ICDO:8410/3
DOID:4840,sebaceous carcinoma,NCI:C8409
DOID:4840,sebaceous carcinoma,UMLS_CUI:C1382026
DOID:4843,subependymal glioma,ICDO:9383/1
DOID:4843,subependymal glioma,MESH:D018315
DOID:4843,subependymal glioma,NCI:C3795
DOID:4843,subependymal glioma,SNOMEDCT_US_2023_03_01:4553004
DOID:4843,subependymal glioma,UMLS_CUI:C0206725
DOID:4844,benign ependymoma,MESH:D004806
DOID:4844,benign ependymoma,NCI:C3017
DOID:4844,benign ependymoma,SNOMEDCT_US_2023_03_01:443643007
DOID:4844,benign ependymoma,UMLS_CUI:C0014474
DOID:4845,pilomyxoid astrocytoma,ICDO:9425/3
DOID:4845,pilomyxoid astrocytoma,NCI:C40315
DOID:4845,pilomyxoid astrocytoma,SNOMEDCT_US_2023_03_01:388600004
DOID:4845,pilomyxoid astrocytoma,UMLS_CUI:C1519086
DOID:4846,cauda equina intradural extramedullary astrocytoma,NCI:C5408
DOID:4846,cauda equina intradural extramedullary astrocytoma,UMLS_CUI:C1334254
DOID:4847,cauda equina neoplasm,NCI:C5479
DOID:4847,cauda equina neoplasm,SNOMEDCT_US_2023_03_01:126963001
