"acc","librarysource"
"SRR12709843","GENOMIC"
"SRR25288795","VIRAL RNA"
"SRR25288684","VIRAL RNA"
"SRR12709315","GENOMIC"
"SRR2063924","VIRAL RNA"
"SRR6058077","TRANSCRIPTOMIC"
"DRR197446","GENOMIC"
"SRR8666910","GENOMIC"
"SRR25288694","VIRAL RNA"
"SRR25288810","VIRAL RNA"
"SRR7957476","METAGENOMIC"
"SRR25288825","VIRAL RNA"
"SRR1647164","METAGENOMIC"
"SRR27078658","METAGENOMIC"
"SRR1611062","GENOMIC"
"SRR23700863","GENOMIC"
"SRR3614830","OTHER"
"SRR22672227","TRANSCRIPTOMIC SINGLE CELL"
"SRR1646996","METAGENOMIC"
"SRR15442346","METAGENOMIC"
"SRR17072379","GENOMIC"
"SRR13289406","GENOMIC"
"SRR19796074","GENOMIC"
"SRR13614872","GENOMIC"
"SRR6847327","METAGENOMIC"
"SRR12709935","GENOMIC"
"SRR22765752","GENOMIC"
"SRR12709965","GENOMIC"
"SRR12709553","GENOMIC"
"SRR22764381","TRANSCRIPTOMIC"
"SRR15719357","METATRANSCRIPTOMIC"
"SRR5772126","GENOMIC"
"SRR15461561","GENOMIC"
"SRR12709912","GENOMIC"
"DRR013331","GENOMIC"
"SRR17438261","GENOMIC"
"SRR27078783","METAGENOMIC"
"SRR22123402","GENOMIC"
"SRR4003732","GENOMIC"
"SRR12709857","GENOMIC"
"SRR9961906","TRANSCRIPTOMIC"
"SRR25256549","GENOMIC"
"SRR17839280","TRANSCRIPTOMIC"
"SRR25288726","VIRAL RNA"
"DRR197416","GENOMIC"
"SRR22765759","GENOMIC"
"SRR3862131","GENOMIC"
"SRR18936017","TRANSCRIPTOMIC"
"SRR15442306","METAGENOMIC"
"SRR22983801","GENOMIC"
"SRR12709150","GENOMIC"
"SRR4003596","GENOMIC"
"SRR12709751","GENOMIC"
"SRR25256565","GENOMIC"
"SRR15442313","METAGENOMIC"
"SRR18443053","GENOMIC"
"SRR12709717","GENOMIC"
"SRR15442311","METAGENOMIC"
"SRR18243954","GENOMIC"
"SRR25256542","GENOMIC"
"SRR25288770","VIRAL RNA"
"SRR25256550","GENOMIC"
"SRR23759446","TRANSCRIPTOMIC"
"SRR4003671","GENOMIC"
"SRR25288535","VIRAL RNA"
"SRR7120207","GENOMIC"
"SRR8509862","METAGENOMIC"
"SRR12709447","GENOMIC"
"SRR12709736","GENOMIC"
"SRR25288689","VIRAL RNA"
"SRR15442936","METAGENOMIC"
"SRR10044896","TRANSCRIPTOMIC"
"SRR25288499","VIRAL RNA"
"SRR24863899","TRANSCRIPTOMIC"
"SRR12517867","GENOMIC"
"SRR8981015","TRANSCRIPTOMIC"
"SRR18936018","TRANSCRIPTOMIC"
"SRR15442938","METAGENOMIC"
"SRR12709805","GENOMIC"
"SRR27078781","METAGENOMIC"
"SRR15442209","METAGENOMIC"
"SRR4003773","GENOMIC"
"SRR11728930","TRANSCRIPTOMIC"
"SRR12710110","GENOMIC"
"SRR12709911","GENOMIC"
"SRR15442895","METAGENOMIC"
"SRR15442542","METAGENOMIC"
"SRR15442222","METAGENOMIC"
"SRR19350918","TRANSCRIPTOMIC"
"SRR8197299","GENOMIC"
"SRR21770678","GENOMIC"
"SRR26405561","GENOMIC"
"SRR16368201","GENOMIC"
"SRR17331052","GENOMIC"
"DRR125325","GENOMIC"
"SRR9013054","GENOMIC"
"SRR8452493","TRANSCRIPTOMIC"
"SRR19350933","TRANSCRIPTOMIC"
"SRR22691042","TRANSCRIPTOMIC"
"SRR15442801","METAGENOMIC"
"SRR13729787","TRANSCRIPTOMIC"
"SRR27078561","METAGENOMIC"
"SRR8561803","TRANSCRIPTOMIC"
"SRR25288818","VIRAL RNA"
"SRR15442522","METAGENOMIC"
"SRR10920882","GENOMIC"
"SRR10044893","TRANSCRIPTOMIC"
"SRR15442590","METAGENOMIC"
"SRR21109203","GENOMIC"
"SRR27078833","METAGENOMIC"
"SRR22764382","TRANSCRIPTOMIC"
"SRR24686453","TRANSCRIPTOMIC"
"DRR197435","GENOMIC"
"DRR125280","GENOMIC"
"SRR12709255","GENOMIC"
"SRR15442540","METAGENOMIC"
"SRR22672239","TRANSCRIPTOMIC SINGLE CELL"
"SRR10044880","TRANSCRIPTOMIC"
"SRR11310308","TRANSCRIPTOMIC"
"SRR25288616","VIRAL RNA"
"SRR1611115","GENOMIC"
"SRR25288811","VIRAL RNA"
"DRR125249","GENOMIC"
"SRR10768867","TRANSCRIPTOMIC"
"SRR15442953","METAGENOMIC"
"SRR6242969","METAGENOMIC"
"DRR125303","GENOMIC"
"SRR12709828","GENOMIC"
"SRR3862252","GENOMIC"
"SRR12709882","GENOMIC"
"SRR12709860","GENOMIC"
"SRR4003645","GENOMIC"
"SRR27078659","METAGENOMIC"
"SRR12709439","GENOMIC"
"SRR10044897","TRANSCRIPTOMIC"
"DRR125344","GENOMIC"
"SRR8509861","METAGENOMIC"
"SRR27078830","METAGENOMIC"
"SRR25288489","VIRAL RNA"
"SRR25288502","VIRAL RNA"
"SRR6243118","METAGENOMIC"
"SRR13233041","GENOMIC"
"SRR12709438","GENOMIC"
"SRR12709815","GENOMIC"
"SRR12709173","GENOMIC"
"DRR125367","GENOMIC"
"SRR9961917","TRANSCRIPTOMIC"
"SRR12532606","TRANSCRIPTOMIC"
"SRR10044877","TRANSCRIPTOMIC"
"SRR27078518","METAGENOMIC"
"SRR2063943","VIRAL RNA"
"SRR12710112","GENOMIC"
"SRR27078601","METAGENOMIC"
"SRR26405555","GENOMIC"
"SRR24224966","GENOMIC"
"SRR1611012","GENOMIC"
"SRR27078610","METAGENOMIC"
"SRR27078480","METAGENOMIC"
"SRR25288528","VIRAL RNA"
"SRR6847324","METAGENOMIC"
"SRR12709687","GENOMIC"
"SRR13271887","GENOMIC"
"SRR17846994","GENOMIC"
"SRR22132709","GENOMIC"
"SRR16938472","TRANSCRIPTOMIC"
"SRR27078498","METAGENOMIC"
"SRR15442792","METAGENOMIC"
"SRR6799710","GENOMIC"
"SRR13326270","GENOMIC"
"SRR12710043","GENOMIC"
"SRR13434162","TRANSCRIPTOMIC"
"SRR12709948","GENOMIC"
"SRR1611041","GENOMIC"
"SRR12709707","GENOMIC"
"SRR13925044","GENOMIC"
"SRR12709435","GENOMIC"
"SRR8313437","GENOMIC"
"SRR12709932","GENOMIC"
"SRR13518206","TRANSCRIPTOMIC"
"SRR4003662","GENOMIC"
"SRR27078609","METAGENOMIC"
"SRR10423025","TRANSCRIPTOMIC"
"SRR12709802","GENOMIC"
"SRR12709534","GENOMIC"
"SRR20726282","GENOMIC"
"SRR4003714","GENOMIC"
"ERR4290212","GENOMIC"
"SRR4003604","GENOMIC"
"SRR15442647","METAGENOMIC"
"SRR18484312","GENOMIC"
"SRR18484318","GENOMIC"
"SRR15406610","GENOMIC"
"DRR197426","GENOMIC"
"SRR6847295","METAGENOMIC"
"SRR4003766","GENOMIC"
"ERR9287199","GENOMIC"
"SRR12330205","GENOMIC"
"SRR1611071","GENOMIC"
"SRR4003669","GENOMIC"
"ERR9287536","GENOMIC"
"SRR27078697","METAGENOMIC"
"SRR13275828","TRANSCRIPTOMIC"
"SRR27078489","METAGENOMIC"
"SRR27078655","METAGENOMIC"
"SRR18142643","TRANSCRIPTOMIC"
"SRR27078585","METAGENOMIC"
"SRR2932833","TRANSCRIPTOMIC"
"SRR12709120","GENOMIC"
"SRR7875388","GENOMIC"
"SRR12710033","GENOMIC"
"SRR9961913","TRANSCRIPTOMIC"
"SRR27078672","METAGENOMIC"
"SRR26405552","GENOMIC"
"DRR125366","GENOMIC"
"SRR6847289","METAGENOMIC"
"SRR9858396","TRANSCRIPTOMIC"
"SRR12709997","GENOMIC"
"SRR12709217","GENOMIC"
"SRR15442455","METAGENOMIC"
"SRR8645860","TRANSCRIPTOMIC"
"SRR12709910","GENOMIC"
"SRR11728964","TRANSCRIPTOMIC"
"SRR22672240","TRANSCRIPTOMIC SINGLE CELL"
"SRR26405553","GENOMIC"
"SRR10902309","GENOMIC"
"SRR4003655","GENOMIC"
"SRR15442458","METAGENOMIC"
"SRR20992721","TRANSCRIPTOMIC"
"SRR15442528","METAGENOMIC"
"SRR988386","GENOMIC"
"SRR8631965","GENOMIC"
"SRR5535766","METAGENOMIC"
"SRR6426568","GENOMIC"
"SRR13289395","GENOMIC"
"SRR15442341","METAGENOMIC"
"SRR21071062","GENOMIC"
"SRR1611074","GENOMIC"
"SRR6322812","TRANSCRIPTOMIC"
"SRR12709803","GENOMIC"
"SRR12709718","GENOMIC"
"SRR3986359","TRANSCRIPTOMIC"
"SRR27078892","METAGENOMIC"
"SRR22071723","METATRANSCRIPTOMIC"
"SRR12709450","GENOMIC"
"SRR14340915","TRANSCRIPTOMIC"
"SRR24901154","GENOMIC"
"SRR24489586","TRANSCRIPTOMIC SINGLE CELL"
"SRR12709279","GENOMIC"
"SRR12709311","GENOMIC"
"SRR15442211","METAGENOMIC"
"SRR12710180","GENOMIC"
"SRR10749042","TRANSCRIPTOMIC"
"DRR125298","GENOMIC"
"SRR1647216","METAGENOMIC"
"SRR12709723","GENOMIC"
"SRR3862145","GENOMIC"
"SRR12710102","GENOMIC"
"SRR25288687","VIRAL RNA"
"SRR25256528","GENOMIC"
"SRR12709398","GENOMIC"
"SRR6847319","METAGENOMIC"
"SRR18400076","GENOMIC"
"SRR12709095","GENOMIC"
"SRR17839273","TRANSCRIPTOMIC"
"SRR25288745","VIRAL RNA"
"SRR18483891","GENOMIC"
"SRR24184640","GENOMIC"
"SRR7958012","METAGENOMIC"
"SRR1609142","GENOMIC"
"SRR15724321","TRANSCRIPTOMIC"
"SRR22765745","GENOMIC"
"SRR27078512","METAGENOMIC"
"SRR19473882","GENOMIC"
