"acc","librarysource"
"SRR12709440","GENOMIC"
"SRR25288536","VIRAL RNA"
"SRR11401928","GENOMIC"
"SRR12207392","TRANSCRIPTOMIC"
"SRR25288692","VIRAL RNA"
"SRR15442818","METAGENOMIC"
"SRR25663977","GENOMIC"
"SRR13434052","TRANSCRIPTOMIC"
"SRR13434142","TRANSCRIPTOMIC"
"SRR9897644","GENOMIC"
"SRR18286255","TRANSCRIPTOMIC"
"SRR25665165","GENOMIC"
"SRR2320756","GENOMIC"
"SRR16955421","GENOMIC"
"SRR25288681","VIRAL RNA"
"SRR15442945","METAGENOMIC"
"SRR23942267","TRANSCRIPTOMIC"
"SRR25288643","VIRAL RNA"
"SRR25288729","VIRAL RNA"
"SRR17518782","TRANSCRIPTOMIC"
"SRR16368208","GENOMIC"
"SRR12709877","GENOMIC"
"SRR9884529","GENOMIC"
"SRR10043613","TRANSCRIPTOMIC"
"SRR4427063","GENOMIC"
"SRR13434126","TRANSCRIPTOMIC"
"SRR12709232","GENOMIC"
"SRR25288742","VIRAL RNA"
"SRR3862122","GENOMIC"
"SRR12709408","GENOMIC"
"DRR022544","GENOMIC"
"SRR6058074","TRANSCRIPTOMIC"
"SRR27078828","METAGENOMIC"
"SRR7621211","GENOMIC"
"SRR5970366","GENOMIC"
"SRR12709352","GENOMIC"
"SRR27078595","METAGENOMIC"
"SRR25288600","VIRAL RNA"
"SRR10433488","TRANSCRIPTOMIC"
"SRR25288618","VIRAL RNA"
"SRR25288570","VIRAL RNA"
"SRR17140478","METAGENOMIC"
"SRR15442796","METAGENOMIC"
"SRR15672520","GENOMIC"
"SRR10969795","TRANSCRIPTOMIC"
"SRR1647217","METAGENOMIC"
"SRR12709434","GENOMIC"
"SRR14340909","TRANSCRIPTOMIC"
"SRR12710087","GENOMIC"
"SRR12710134","GENOMIC"
"SRR25664249","GENOMIC"
"SRR25256604","GENOMIC"
"DRR336006","TRANSCRIPTOMIC"
"SRR1611040","GENOMIC"
"SRR12710064","GENOMIC"
"SRR8130965","GENOMIC"
"SRR2063934","VIRAL RNA"
"SRR15442447","METAGENOMIC"
"SRR850198","GENOMIC"
"SRR27078528","METAGENOMIC"
"SRR15442816","METAGENOMIC"
"SRR22859020","TRANSCRIPTOMIC SINGLE CELL"
"SRR27078785","METAGENOMIC"
"SRR18936020","TRANSCRIPTOMIC"
"SRR13235463","GENOMIC"
"DRR125330","GENOMIC"
"SRR15442356","METAGENOMIC"
"SRR4003717","GENOMIC"
"SRR12709221","GENOMIC"
"SRR14608985","TRANSCRIPTOMIC"
"SRR12709432","GENOMIC"
"SRR15442934","METAGENOMIC"
"SRR10044889","TRANSCRIPTOMIC"
"SRR19174523","GENOMIC"
"SRR16368196","GENOMIC"
"SRR15442452","METAGENOMIC"
"SRR22979159","GENOMIC"
"SRR22765730","GENOMIC"
"SRR15346297","TRANSCRIPTOMIC"
"SRR10044881","TRANSCRIPTOMIC"
"SRR27078499","METAGENOMIC"
"SRR6847364","METAGENOMIC"
"SRR27078557","METAGENOMIC"
"SRR25288839","VIRAL RNA"
"SRR12710057","GENOMIC"
"SRR3615021","OTHER"
"SRR3615023","OTHER"
"DRR125365","GENOMIC"
"DRR197434","GENOMIC"
"SRR17140452","METAGENOMIC"
"SRR25288805","VIRAL RNA"
"SRR25256535","GENOMIC"
"SRR12709101","GENOMIC"
"SRR17839245","TRANSCRIPTOMIC"
"SRR15442428","METAGENOMIC"
"SRR23759435","TRANSCRIPTOMIC"
"SRR12709566","GENOMIC"
"SRR645306","GENOMIC"
"SRR2063933","VIRAL RNA"
"SRR12709319","GENOMIC"
"SRR12710142","GENOMIC"
"SRR15442413","METAGENOMIC"
"SRR6847269","METAGENOMIC"
"SRR15442223","METAGENOMIC"
"SRR25256569","GENOMIC"
"SRR7621251","GENOMIC"
"SRR14864806","GENOMIC"
"SRR18484265","GENOMIC"
"SRR10825112","GENOMIC"
"SRR27078790","METAGENOMIC"
"SRR25288784","VIRAL RNA"
"SRR25288821","VIRAL RNA"
"SRR25288688","VIRAL RNA"
"SRR17839278","TRANSCRIPTOMIC"
"SRR5447145","VIRAL RNA"
"SRR15442214","METAGENOMIC"
"SRR12709564","GENOMIC"
"SRR13289356","GENOMIC"
"SRR12056157","GENOMIC"
"SRR1051798","GENOMIC"
"SRR22213334","GENOMIC"
"SRR12517639","GENOMIC"
"SRR12709141","GENOMIC"
"SRR18483908","GENOMIC"
"SRR11728928","TRANSCRIPTOMIC"
"SRR25288680","VIRAL RNA"
"SRR27078516","METAGENOMIC"
"SRR20326686","GENOMIC"
"SRR22071730","METATRANSCRIPTOMIC"
"SRR22765713","GENOMIC"
"DRR165196","TRANSCRIPTOMIC"
"SRR3592526","GENOMIC"
"SRR5470525","GENOMIC"
"SRR16368198","GENOMIC"
"SRR1611022","GENOMIC"
"SRR15442779","METAGENOMIC"
"SRR12146172","GENOMIC"
"SRR26045503","TRANSCRIPTOMIC"
"SRR6847305","METAGENOMIC"
"SRR15442919","METAGENOMIC"
"SRR12710052","GENOMIC"
"SRR12709382","GENOMIC"
"SRR21023482","GENOMIC"
"SRR26405554","GENOMIC"
"SRR12709320","GENOMIC"
"SRR9858361","TRANSCRIPTOMIC"
"SRR21205031","TRANSCRIPTOMIC"
"SRR22071716","METATRANSCRIPTOMIC"
"SRR1611087","GENOMIC"
"SRR8360571","TRANSCRIPTOMIC"
"SRR13376341","GENOMIC"
"SRR25663464","GENOMIC"
"SRR8239483","TRANSCRIPTOMIC"
"SRR12709177","GENOMIC"
"SRR12709199","GENOMIC"
"SRR18511985","GENOMIC"
"SRR12709768","GENOMIC"
"DRR013329","GENOMIC"
"SRR4003748","GENOMIC"
"SRR27078786","METAGENOMIC"
"SRR24199650","GENOMIC"
"SRR6847290","METAGENOMIC"
"SRR17272085","TRANSCRIPTOMIC"
"SRR12709105","GENOMIC"
"SRR12709937","GENOMIC"
"SRR14103846","GENOMIC"
"SRR27078657","METAGENOMIC"
"DRR197430","GENOMIC"
