accession	presumed_host
KJ506870-1_129_1346_1	Homo sapiens
MF588747-1_156_1376_1	Homo sapiens
BK066647-1_129_1349_1	Homo sapiens
KM085343-1_135_1367_1	Homo sapiens
MF588786-1_135_1364_1	Homo sapiens
MF588749-1_135_1352_1	Homo sapiens
MF588748-1_141_1355_1	Homo sapiens
MH172377-1_60_1277_1	Homo sapiens
HM999996-1_87_1313_1	Homo sapiens
MH777201-2_141_1364_1	Homo sapiens
MH777389-2_90_1301_1	Homo sapiens
BK066896-1_69_1280_1	Homo sapiens
KC862318-1_96_1313_1	Homo sapiens
MH777270-1_96_1307_1	Homo sapiens
MH777351-2_144_1355_1	Homo sapiens
HG530535-1_69_1277_1	Homo sapiens
KP692118-1_147_1352_1	Homo sapiens
MH777298-2_138_1340_1	Homo sapiens
JF966373-1_72_1274_1	Homo sapiens
MF588744-1_93_1292_1	Homo sapiens
MH777385-2_69_1286_1	Homo sapiens
MH777327-2_96_1301_1	Homo sapiens
JX429973-1_90_1295_1	Homo sapiens
MF588775-1_138_1334_1	Homo sapiens
MH777287-2_141_1340_1	Homo sapiens
MH777249-1_201_1400_1	Homo sapiens
MF588689-1_171_1370_1	Homo sapiens
MF588730-1_129_1328_1	Homo sapiens
MH777170-2_99_1298_1	Homo sapiens
MH777325-2_132_1331_1	Homo sapiens
KF791917-1_135_1334_1	Homo sapiens
MH777171-1_120_1313_1	Homo sapiens
MH777203-2_141_1331_1	Homo sapiens
MH777314-2_69_1268_1	Homo sapiens
MF588731-1_132_1325_1	Homo sapiens
MH777294-2_72_1289_1	Homo sapiens
MF588756-1_108_1322_1	Homo sapiens
MH972563-2_96_1310_1	Homo sapiens
MH777162-2_81_1301_1	Homo sapiens
MH777313-2_84_1301_1	Homo sapiens
MF588734-1_90_1307_1	Homo sapiens
MH777192-2_99_1313_1	Homo sapiens
KF006399-1_87_1295_1	Homo sapiens
MF588740-1_72_1280_1	Homo sapiens
MG063749-1_87_1307_1	Homo sapiens
MF588742-1_72_1289_1	Homo sapiens
KF482069-1_123_1346_1	Homo sapiens
MH777178-2_90_1304_1	Homo sapiens
MH777380-2_87_1304_1	Homo sapiens
MH777176-2_147_1358_1	Homo sapiens
MF588736-1_147_1364_1	Homo sapiens
MF588737-1_114_1331_1	Homo sapiens
MF588738-1_114_1331_1	Homo sapiens
MF588739-1_147_1361_1	Homo sapiens
MH777241-1_171_1382_1	Homo sapiens
KC311731-2_87_1301_1	Homo sapiens
MF588753-1_69_1286_1	Homo sapiens
MF588726-1_132_1337_1	Homo sapiens
HM999998-1_135_1343_1	Homo sapiens
MF588724-1_153_1361_1	Homo sapiens
HG421739-1_126_1331_1	Homo sapiens
HM999987-1_153_1358_1	Homo sapiens
BK066395-1_93_1295_1	Homo sapiens
MH777163-2_93_1310_1	Homo sapiens
MF588725-1_93_1307_1	Homo sapiens
MH777368-1_129_1340_1	Homo sapiens
MG869605-1_99_1313_1	Homo sapiens
KR816179-1_93_1304_1	Homo sapiens
KC113191-1_162_1373_1	Homo sapiens
MH777207-2_93_1304_1	Homo sapiens
MF588727-1_135_1346_1	Homo sapiens
LR862055-1_237_1439_1	Homo sapiens
MH777219-2_87_1289_1	Homo sapiens
MF588721-1_90_1289_1	Homo sapiens
GU225708-1_129_1319_1	Homo sapiens
MH777284-2_141_1334_1	Homo sapiens
MH777185-2_90_1280_1	Homo sapiens
JN171845-1_81_1295_1	Homo sapiens
MF588692-1_69_1280_1	Homo sapiens
MF588693-1_69_1280_1	Homo sapiens
JF966372-1_75_1280_1	Homo sapiens
MF588688-1_75_1283_1	Homo sapiens
MF588754-1_75_1286_1	Homo sapiens
MF588733-1_60_1256_1	Homo sapiens
MH172379-1_90_1298_1	Homo sapiens
MF588732-1_78_1280_1	Homo sapiens
KX082661-1_135_1328_1	Homo sapiens
MF588780-1_60_1253_1	Homo sapiens
JX413109-1_90_1286_1	Homo sapiens
MF176072-1_126_1319_1	Homo sapiens
MH777322-2_69_1262_1	Homo sapiens
MH777165-2_93_1286_1	Homo sapiens
JX413104-1_90_1283_1	Homo sapiens
MH777239-1_132_1322_1	Homo sapiens
MH777378-1_99_1301_1	Homo sapiens
MH777381-2_99_1307_1	Homo sapiens
MH777310-1_69_1292_1	Homo sapiens
MH777211-2_69_1286_1	Homo sapiens
MH777187-2_69_1286_1	Homo sapiens
KP692114-1_69_1289_1	Homo sapiens
MF588723-1_75_1295_1	Homo sapiens
MH777265-2_60_1277_1	Homo sapiens
KR816175-1_60_1286_1	Homo sapiens
GU117631-1_69_1286_1	Homo sapiens
MH777245-2_69_1289_1	Homo sapiens
MH777260-2_69_1289_1	Homo sapiens
MF588691-1_87_1277_1	Homo sapiens
MH777200-2_72_1262_1	Homo sapiens
GU117632-1_72_1271_1	Homo sapiens
MF588718-1_75_1274_1	Homo sapiens
MF588717-1_69_1265_1	Homo sapiens
HM011570-1_69_1274_1	Homo sapiens
KJ913662-1_87_1274_1	Homo sapiens
JF966378-1_81_1289_1	Homo sapiens
MF588773-1_72_1265_1	Homo sapiens
GU129016-1_72_1286_1	Homo sapiens
MH777217-2_72_1280_1	Homo sapiens
MH777262-2_138_1349_1	Homo sapiens
MF588720-1_150_1358_1	Homo sapiens
MH777280-2_72_1280_1	Homo sapiens
BK066415-1_63_1253_1	Homo sapiens
MH777384-2_87_1271_1	Homo sapiens
MH777281-1_81_1265_1	Homo sapiens
BK066697-1_72_1274_1	Homo sapiens
JF966379-1_72_1274_1	Homo sapiens
MH777347-2_72_1274_1	Homo sapiens
MH777357-2_72_1274_1	Homo sapiens
MH777268-2_72_1274_1	Homo sapiens
MH972562-2_63_1259_1	Homo sapiens
MH777244-2_96_1292_1	Homo sapiens
JX444073-1_72_1268_1	Homo sapiens
MF588767-1_72_1271_1	Homo sapiens
MH777343-2_72_1274_1	Homo sapiens
MH777358-2_75_1295_1	Homo sapiens
MH777286-2_75_1298_1	Homo sapiens
PP296663-1_63_1292_1	Homo sapiens
GQ246951-1_60_1280_1	Homo sapiens
GQ845446-1_96_1316_1	Homo sapiens
MH777359-2_144_1364_1	Homo sapiens
MH777190-2_57_1286_1	Homo sapiens
JN231328-1_63_1268_1	Homo sapiens
FJ947080-1_93_1310_1	Homo sapiens
FN598907-1_90_1283_1	Homo sapiens
MF588682-1_90_1286_1	Homo sapiens
MF588684-1_141_1334_1	Homo sapiens
HF930491-1_84_1289_1	Homo sapiens
KF922510-1_48_1256_1	Homo sapiens
MH777253-2_171_1379_1	Homo sapiens
JN211195-1_96_1304_1	Homo sapiens
MG921179-1_48_1259_1	Homo sapiens
HE963025-1_69_1277_1	Homo sapiens
MH777205-2_123_1331_1	Homo sapiens
A07020-1_123_1298_1	Homo sapiens
FB344172-1_45_1226_1	Homo sapiens
AF070938-1_48_1226_1	Homo sapiens
KX781282-1_99_1307_1	Homo sapiens
KX781281-1_141_1355_1	Homo sapiens
KX781284-1_135_1352_1	Homo sapiens
KX781280-1_135_1352_1	Homo sapiens
KX781285-1_147_1364_1	Homo sapiens
AY044277-1_48_1271_1	Homo sapiens
KX781286-1_81_1289_1	Homo sapiens
KT236450-1_117_1292_1	Homo sapiens
A28090-1_126_1301_1	Homo sapiens
AF067036-1_42_1208_1	Homo sapiens
AF217526-1_42_1211_1	Homo sapiens
AF020905-1_135_1310_1	Pan troglodytes
DQ344807-1_171_1337_1	Homo sapiens
HE963117-1_42_1214_1	Homo sapiens
KF436826-1_75_1259_1	Homo sapiens
HW350057-1_228_1409_1	Homo sapiens
EF558842-1_198_1364_1	Macaca fascicularis
EF558838-1_240_1406_1	Macaca fascicularis
EU490516-1_147_1319_1	Macaca fascicularis
EF558843-1_147_1316_1	Macaca fascicularis
EF558841-1_147_1319_1	Macaca fascicularis
EF558840-1_138_1301_1	Macaca fascicularis
EF591300-1_147_1319_1	Macaca mulatta
EF558839-2_87_1250_1	Macaca fascicularis
AF436129-1_231_1394_1	Homo sapiens
AB542808-1_90_1274_1	Homo sapiens
AB040456-1_153_1328_1	Homo sapiens
AY330620-1_102_1286_1	Homo sapiens
AB745694-1_129_1307_1	Homo sapiens
HW350049-1_129_1310_1	Homo sapiens
U31784-1_162_1343_1	Homo sapiens
HW350065-1_216_1397_1	Homo sapiens
HW350071-1_234_1418_1	Homo sapiens
KJ145795-1_198_1382_1	Homo sapiens
AF349909-1_186_1376_1	Homo sapiens
AF293960-1_276_1460_1	Homo sapiens
AF436128-1_102_1283_1	Homo sapiens
AF151983-1_123_1304_1	Homo sapiens
DQ080083-1_540_1721_1	Homo sapiens
AB361563-1_123_1286_1	Homo sapiens
AB211993-1_387_1553_1	Homo sapiens
DQ080000-1_102_1262_1	Homo sapiens
KF436859-1_87_1274_1	Homo sapiens
HW350144-1_45_1226_1	Homo sapiens
AB027021-1_147_1328_1	Homo sapiens
EF177176-1_198_1370_1	Homo sapiens
EF177189-1_198_1370_1	Homo sapiens
EF546469-1_84_1253_1	Homo sapiens
HW350056-1_84_1259_1	Homo sapiens
HW350133-1_45_1223_1	Homo sapiens
DQ080079-1_78_1259_1	Homo sapiens
AY262282-1_240_1421_1	Homo sapiens
CS077205-1_45_1235_1	Homo sapiens
DQ080080-1_123_1304_1	Homo sapiens
AF131950-1_162_1343_1	Homo sapiens
HE793047-1_42_1220_1	Homo sapiens
HE962401-1_42_1220_1	Homo sapiens
EU077224-1_123_1316_1	Homo sapiens
D21208-1_183_1361_1	Homo sapiens
AB818687-1_156_1334_1	Homo sapiens
M74117-1_81_1262_1	Homo sapiens
HW350053-1_141_1361_1	Homo sapiens
FM955841-1_78_1301_1	Homo sapiens
FM955838-1_174_1397_1	Homo sapiens
M32305-1_60_1277_1	Homo sapiens
D90252-1_60_1310_1	Homo sapiens
X74470-1_177_1403_1	Homo sapiens
X74467-1_63_1292_1	Homo sapiens
AY382778-1_57_1286_1	Homo sapiens
EU410347-1_129_1331_1	Homo sapiens
EF422221-1_114_1319_1	Homo sapiens
FM955839-1_171_1367_1	Homo sapiens
FN677756-1_141_1337_1	Homo sapiens
DQ090005-2_303_1508_1	Homo sapiens
EU410348-1_120_1325_1	Homo sapiens
NC_001596-1_129_1337_1	Homo sapiens
