accession	presumed_host
OR952894-1_171_1361_1	Ia io
MW401529-1_48_1253_1	Bos taurus
MH512005-1_45_1241_1	Bos taurus
KY853656-1_60_1226_1	Felis catus
LC333412-2_96_1277_1	Felis catus
JX972168-1_72_1247_1	Felis catus
OQ836188-1_108_1277_1	Felis catus
MN857145-1_78_1238_1	Felis catus
BK066472-1_117_1283_1	Panthera pardus
MH285952-1_108_1289_1	Canis lupus familiaris
BK066390-1_87_1268_1	Canis lupus familiaris
BK066790-1_84_1265_1	Canis latrans
MH285953-1_72_1247_1	Canis lupus familiaris
BK066545-1_63_1247_1	Numida meleagris
JX141478-1_123_1301_1	Canis lupus familiaris
BK066769-1_138_1316_1	Canis lupus familiaris
BK066366-1_114_1298_1	Canis lupus familiaris
MH285954-1_225_1397_1	Canis lupus familiaris
FJ492742-1_66_1244_1	Canis lupus familiaris
KX599536-1_123_1298_1	Canis lupus familiaris
BK066588-1_96_1274_1	Canis lupus familiaris
MG571094-1_66_1271_1	Leptonychotes weddellii
BK066347-1_93_1277_1	Gulo gulo
KF006988-1_66_1253_1	Mustela putorius furo
OR531434-1_282_1466_1	Arctocephalus forsteri
OP376965-1_108_1307_1	Varecia variegata
OP376964-1_60_1253_1	Varecia variegata
MH745747-1_75_1283_1	Macaca mulatta
MG837559-1_99_1310_1	Macaca mulatta
MH745749-1_99_1313_1	Macaca mulatta
MN535764-1_96_1289_1	Callithrix penicillata
MN535763-1_57_1253_1	Callithrix penicillata
MG571089-1_129_1346_1	Leptonychotes weddellii
KU519396-1_54_1241_1	Bos taurus
KU519394-1_54_1250_1	Bos taurus
OR915593-1_132_1340_1	Caracal caracal
OR915591-1_66_1271_1	Caracal caracal
BK066644-1_102_1298_1	Canis lupus familiaris
KF857586-1_96_1286_1	Vulpes vulpes
MH376689-1_72_1247_1	Erethizon dorsatum
BK066866-1_63_1244_1	Rodentia
HG939559-1_63_1247_1	Phodopus sungorus
BK066757-1_75_1259_1	Rodentia
BK066393-1_90_1277_1	Apodemus sylvaticus
HQ625440-1_174_1364_1	Apodemus sylvaticus
KY370096-1_87_1277_1	Apodemus chevrieri
BK066384-1_135_1322_1	Mus musculus
DQ269468-1_129_1316_1	Micromys minutus
ON932813-1_57_1247_1	Niviventer fulvescens
GQ180114-1_78_1268_1	Rattus norvegicus
GU014533-1_63_1292_1	Colobus guereza
EF028290-1_57_1277_1	Macaca fascicularis
BK066462-1_78_1295_1	Panthera pardus
GQ916646-1_81_1289_1	Felis catus
GU014531-1_96_1301_1	Macaca fascicularis
BK066846-1_93_1304_1	Soricidae
BK066421-1_84_1274_1	Soricidae
FJ379293-1_51_1250_1	Erinaceus europaeus
EU277647-1_57_1244_1	Isoodon obesulus
EU069819-1_57_1244_1	Perameles bougainville
GU220391-1_69_1253_1	Bettongia penicillata
KP757765-1_123_1298_1	Rusa timorensis
KT932712-1_99_1301_1	Cervus elaphus
KU519395-1_72_1274_1	Bos taurus
KC810012-1_57_1256_1	Rangifer tarandus
LC500686-1_90_1286_1	Bos taurus
MW428425-1_90_1274_1	Bos taurus
MW543423-1_48_1238_1	Bos taurus
MW404256-1_177_1361_1	Bos taurus
MW428429-1_90_1283_1	Bos taurus
KM983393-1_90_1268_1	Bos taurus
MW404259-1_144_1322_1	Bos taurus
AB543507-1_90_1274_1	Bos taurus
GQ471901-1_138_1322_1	Bos taurus
MG602223-1_144_1325_1	Bos taurus
MW393860-1_48_1235_1	Bos taurus
KX098515-1_75_1262_1	Bos taurus
MW390885-1_90_1274_1	Bos taurus
AB845589-1_75_1262_1	Bos taurus
LC514113-1_75_1259_1	Bos taurus
MH729203-1_48_1235_1	Bos taurus
MN148899-1_138_1337_1	Capra hircus
MW428427-1_69_1271_1	Bos taurus
JF834523-1_75_1262_1	Bos taurus
MW428428-1_75_1265_1	Bos taurus
OL672227-1_75_1259_1	Bos taurus
MW543427-1_54_1232_1	Bos taurus
KU519392-1_102_1298_1	Bos taurus
GU117622-1_114_1313_1	Phocoena phocoena
OP748391-1_462_1661_1	Delphinapterus leucas
AY940040-1_24_1244_1	Tursiops truncatus
JN709472-1_87_1292_1	Tursiops truncatus
JN709469-1_87_1295_1	Tursiops truncatus
KJ637940-1_21_1226_1	Tursiops aduncus
EU240894-1_84_1298_1	Tursiops truncatus
OQ274130-1_84_1298_1	Neophocaena asiaeorientalis asiaeorientalis
OQ274131-1_87_1298_1	Neophocaena asiaeorientalis asiaeorientalis
EU240895-1_84_1286_1	Tursiops truncatus
GU117620-1_84_1298_1	Delphinus delphis
BK066797-1_69_1304_1	Sousa chinensis
OQ274129-1_177_1397_1	Neophocaena asiaeorientalis asiaeorientalis
MG905161-1_171_1403_1	Tursiops truncatus
JN709470-1_93_1301_1	Tursiops truncatus
JN709471-1_72_1280_1	Tursiops truncatus
OQ274127-1_138_1355_1	Neophocaena asiaeorientalis asiaeorientalis
OQ274128-1_132_1349_1	Neophocaena asiaeorientalis asiaeorientalis
GU117621-1_141_1358_1	Phocoena phocoena
BK066876-1_99_1316_1	Sousa chinensis
OP870083-1_225_1385_1	Equus caballus
JQ031033-1_126_1289_1	Equus caballus
JF939718-1_45_1217_1	Equus caballus
MN117918-1_84_1265_1	Equus caballus
JX035935-1_99_1274_1	Equus ferus
GU384895-1_120_1286_1	Equus caballus
JQ965698-1_99_1274_1	Equus ferus
MW401531-1_156_1325_1	Bos taurus
KT852571-1_114_1289_1	Rusa
MT130100-1_90_1259_1	Camelus
HQ912790-1_69_1247_1	Camelus dromedarius
HQ912791-1_90_1262_1	Camelus dromedarius
MH049343-1_54_1238_1	Okapia johnstoni
KX954132-1_69_1253_1	Giraffa camelopardalis
KP276343-1_138_1310_1	Felis catus
MF435916-1_54_1229_1	Bos taurus
AB626705-1_54_1229_1	Bos taurus
EF680235-1_90_1271_1	Capreolus capreolus
M11910-1_87_1262_1	Odocoileus virginianus
MW436430-1_57_1277_1	Bos taurus
MW543422-1_45_1211_1	Bos taurus
MW428430-1_57_1088_1	Bos taurus
KU350625-1_132_1298_1	Cervus
MW401530-1_81_1247_1	Bos taurus
KJ719447-1_42_1205_1	Rangifer tarandus granti
MK620304-1_72_1256_1	Larus smithsonianus
MK620336-1_54_1241_1	Rissa tridactyla
MK620340-1_225_1406_1	Rissa tridactyla
MK620331-1_66_1259_1	Larus smithsonianus
MK620341-1_33_1217_1	Rissa tridactyla
MK620305-1_75_1271_1	Rissa tridactyla
MK620334-1_75_1265_1	Rissa tridactyla
MK620302-1_300_1484_1	Fratercula arctica
KJ173785-1_117_1295_1	Pygoscelis adeliae
KX147683-1_105_1298_1	Anatidae
MK620303-1_66_1256_1	Anas platyrhynchos
BK066727-1_186_1376_1	Luscinia svecica
MF564196-1_66_1250_1	Serinus canaria
OP628184-1_120_1301_1	Columba livia
MZ570865-1_99_1427_1	Centropristis striata
MZ570861-1_111_1406_1	Melanogrammus aeglefinus
BK066681-1_213_1511_1	Gadus morhua
MZ570859-1_168_1469_1	Melanogrammus aeglefinus
BK066583-1_234_1415_1	Astyanax mexicanus
MZ570864-1_93_1310_1	Centropristis striata
MZ447865-1_60_1238_1	Trematomus bernacchii
MH617579-2_63_1271_1	Lutjanus campechanus
KX643372-1_36_1484_1	Sparus aurata
MZ570863-1_99_1406_1	Centropristis striata
OQ633419-1_78_1277_1	Betta splendens
BK066408-1_63_1328_1	Coryphaenoides rupestris
MZ570860-1_66_1277_1	Melanogrammus aeglefinus
BK066321-1_72_1274_1	Gadus morhua
OR952861-1_69_1205_1	Chondrichthyes
OR952862-1_51_1187_1	Chondrichthyes
BK066382-1_57_1217_1	Carassius auratus x Cyprinus carpio
MN515404-1_72_1238_1	Silurus glanis
MH510267-2_282_1448_1	Oncorhynchus mykiss
MH617143-2_90_1316_1	Melanogrammus aeglefinus
MZ570862-1_78_1322_1	Melanogrammus aeglefinus
BK066851-1_75_1304_1	Gadus morhua
BK066436-1_54_1310_1	Cynoglossus semilaevis
BK066746-1_54_1271_1	Xiphophorus birchmanni
MZ244208-1_57_1235_1	Urolophus aurantiacus
BK066884-1_180_1280_1	Ambystoma mexicanum
MW582900-1_141_1166_1	Rhinella marina
BK066762-1_57_1157_1	Leptobrachium leishanense
BK066795-1_45_1154_1	Leptobrachium leishanense
BK066841-1_57_1214_1	Rana jiemuxiensis
BK066894-1_9_1235_1	Rana jiemuxiensis
BK066313-1_45_1187_1	Rana jiemuxiensis
MK207055-1_54_1259_1	Hemidactylus frenatus
MN194600-1_54_1250_1	Hemidactylus frenatus
MW582922-1_81_1253_1	Archaeolacerta bedriagae
BK066718-1_69_1232_1	Podarcis guadarramae
EU493092-1_87_1277_1	Caretta caretta
EU493091-1_72_1262_1	Chelonia mydas
MW888448-1_51_1190_1	Anas platyrhynchos
KJ452243-1_54_1178_1	Fulmarus glacialis
KX276956-1_159_1352_1	Eidolon helvum
KX276957-1_117_1319_1	Eidolon helvum
PP711994-1_153_1355_1	Eidolon helvum
PP711990-1_141_1340_1	Rousettus aegyptiacus
DQ366842-1_138_1334_1	Rousettus aegyptiacus
OQ746290-1_54_1238_1	Enhydra lutris kenyoni papillomavirus 2
BK066786-1_51_1235_1	Papillomavirus barbastella7824
BK066692-1_51_1256_1	Papillomavirus molossus8005
BK066831-1_93_1304_1	Papillomavirus molossus8160
BK066597-1_516_1694_1	Papillomavirus molossus7687
MK124621-1_78_1310_1	Tick-associated papillomavirus lsx
OP933686-1_87_1274_1	Fish-associated papillomavirus 1
MZ602149-1_66_1355_1	Wesgulfec papillomavirus
BK066885-1_96_1292_1	Papillomavirus sparus5623
A07020-1_123_1298_1	Homo sapiens
