SAMN35992051,geo_loc_name_country_calc,Qatar,0101000020E61000005C07077B13C349404677103B534E3940,f,0,f,,,1
SAMN35992050,geo_loc_name_country_calc,Qatar,0101000020E61000005C07077B13C349404677103B534E3940,f,0,f,,,1
SAMN03025503,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN03025504,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMEA3444264,"geographic location (latitude),geographic location (longitude)","-0.6170,30.6565",0101000020E6100000F2D24D6210A83E405839B4C876BEE3BF,f,1418,f,,,
SAMN04999118,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715236,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715245,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715246,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715247,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715251,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715252,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715255,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715272,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715275,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715279,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715280,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715281,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715285,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715288,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715289,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715292,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715295,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715296,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715302,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715312,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715314,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715315,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715316,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715317,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715319,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715324,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715326,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715327,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715328,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715329,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715331,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715333,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715339,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715344,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715345,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715346,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715363,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715369,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715372,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715383,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
SAMN09715402,lat_lon,38.984652 N 77.094709 W,0101000020E6100000C26856B60F4653C072F8A413097E4340,f,103,f,,,
